(Prefix (1092,1),(208,1)	
Bottom (513,1)	
Boundary (576,1)	
Bounded (795,1)	
Bowling (2660,1)	
Box (1769,1)	
Boxes (546,1)	
Bracket (1807,1)	
Brainpower (2140,1)	
Break (140,1)	
Broken (991,1)	
Browser (1472,1)	
Budget (1208,1)	
Build (1441,1)	
Building (1739,1)	
Bulb (672,1)	
Burgers (1276,1)	
Burst (312,1)	
Bus (815,1)	
Buy (123,1),(2240,1),(714,1)	
By (1484,1)	
Cache (2622,1),(460,1)	
Calculate (2303,1),(2651,1)	
Calculator (224,1),(2642,1),(770,1)	
Calls (1558,1)	
Camelcase (1023,1)	
Can (1751,1),(1935,1),(1953,1),(1160,1),(1432,1),(1502,1),(1744,1)	
Candies (1431,1)	
Candy (135,1)	
Capacity (2279,1)	
Capital (2477,1)	
Captures (999,1)	
Car (1094,1)	
Cat (1728,1)	
Cells (957,1)	
Chain (1048,1)	
Chalkboard (810,1)	
Change (1702,1),(1896,1),(860,1)	
Changes (1758,1)	
Character (821,1)	
Characters (1876,1),(1898,1),(1957,1),(2246,1),(451,1),(1032,1),(1160,1),(1737,1)	
Chart (2280,1)	
Check (1003,1),(1391,1),(1461,1),(1780,1),(1784,1),(1832,1),(2543,1),(958,1)	
Checker (1051,1)	
Children (2236,1),(2591,1)	
Ciphertext (2075,1)	
Circle (1401,1),(1041,1)	
Circular (2515,1),(641,1)	
City (1334,1),(1466,1),(1488,1),(807,1)	
Classes (596,1)	
Climbing (70,2),(746,1)	
Closed (1254,1)	
Closest (564,1),(1521,1),(1774,1)	
Code (89,1)	
Color (1857,1)	
Column (1605,1),(2352,1),(947,1)	
Columns (2397,1),(960,1)	
Combinations (77,1)	
Common (2085,1),(2427,1),(2540,1),(1143,1),(14,1)	
Company (2306,1)	
Competition (2212,1)	
Competitive (1673,1)	
Complete (2685,1),(919,1)	
Components (2440,1)	
Concatenated (1239,1),(472,1)	
Concatenating (1764,1)	
Condition (1527,1)	
Configuration (2596,1)	
Confirmation (1934,1)	
Confusion (2024,1)	
Connect (1584,1),(1595,1)	
Consecutive (600,1),(659,1),(967,1),(1849,1)	
Construct (492,1),(889,1),(1354,1),(1718,1),(2182,1),(427,1)	
Contain (749,1)	
Contains (2133,1)	
Continuous (2009,1),(674,1)	
Convert (1017,1),(108,1),(1284,1),(1945,1),(2469,1),(405,1)	
Coordinate (1779,1)	
Coordinates (816,1)	
Corridor (2147,1)	
Cost (746,1),(1130,1),(2087,1),(2304,1)	
Costs (2673,1)	
Count (1442,1),(1523,1),(1916,1),(2135,1),(357,1),(38,1),(1277,1),(1905,1),(2179,1),(2201,1),(2249,1),(2586,1),(1729,1),(1534,1),(2506,1),(2520,1),(2579,1),(1248,1),(1688,1),(2315,1),(2685,1),(1684,1)	
Counter (2620,1)	
Counts (1371,1)	
Course (1462,1),(630,1)	
Courses (1494,1)	
Cows (299,1)	
Create (2196,1),(321,1)	
Cross (2532,1)	
Cycle (141,1),(2509,1),(2608,1)	
Daily (1693,1)	
Dartboard (1453,1)	
Data (352,1)	
Date (1164,1)	
Day (1997,1),(2136,1)	
Days (957,1),(1011,1),(2100,1),(2409,1)	
Debounce (2627,1)	
Decode (639,1)	
Decomposition (1147,1)	
Decreasing (1370,1)	
Decrypt (1309,1)	
Deepest (1302,1)	
Defuse (1652,1)	
Delayed (2651,1)	
Delete (380,1),(450,1),(740,1),(960,1),(1110,1),(2500,1)	
Deletion (1186,1)	
Deletions (1653,1),(2430,1)	
Department (1179,1)	
Depth (111,1),(559,1),(104,1)	
Descending (1849,1)	
Describe (1943,1)	
Deserialize (449,1)	
Design (2349,1),(2642,1),(705,1),(1472,1),(1656,1),(1670,1)	
Destroy (2453,1)	
Detect (520,1)	
Determine (1886,1)	
Detonate (2101,1)	
Deviation (1675,1)	
Diagonal (1424,1)	
Did (1581,1)	
Differ (1638,1)	
Difference (2616,1),(1200,1),(1509,1),(1938,1),(1981,1),(2333,1),(2535,1),(2256,1),(2670,1)	
Differences (967,1),(2574,1)	
Different (1819,1),(2078,1),(241,1)	
Digit (2544,1),(2566,1),(902,1),(1796,1),(2180,1),(2243,1),(2283,2)	
Digits (1281,1),(738,1)	
Dining (1226,1)	
Directed (2192,1)	
Disconnect (2556,1)	
Discount (1475,1)	
Distance (849,1),(863,1)	
Distances (2615,1)	
Distinct (2549,1),(1081,1),(1467,1),(2053,1),(2318,1),(2442,1)	
Distribute (1655,1)	
Divide (2520,1)	
Divisible (1015,1),(1590,1),(2261,1)	
Divisor (1283,1)	
Divisors (1390,1),(1952,1)	
Domino (790,1)	
Doubled (2007,1)	
Doubly (430,1)	
Drop (1884,1),(887,1)	
Dungeon (174,1)	
Duplicate (287,1)	
Duplicates (26,1),(442,1),(80,1)	
E-Mails (1517,1)	
Each (1769,1),(2003,1),(515,1),(1178,1)	
Earn (2585,1)	
Earning (181,1)	
Easy (1517,1),(2099,1),(2660,1),(2194,1),(374,1),(682,1),(448,1),(929,1),(606,1),(1748,1),(206,1),(2129,1),(2220,1),(2635,1),(598,1),(190,1),(2011,1),(2224,1),(1502,1),(2154,1),(844,1),(1018,1),(2169,1),(2264,1),(455,1),(1403,1),(1913,1),(2000,1),(2062,1),(2235,1),(2367,1),(590,1),(110,1),(1436,1),(2404,1),(268,1),(35,1),(1281,1),(1957,1),(2206,1),(389,1),(392,1),(961,1),(507,1),(561,1),(1047,1),(1582,1),(1704,1),(1869,1),(1971,1),(2073,1),(415,1),(965,1),(1021,1),(1025,1),(1304,1),(1351,1),(1450,1),(1920,1),(1337,1),(338,1),(543,1),(2525,1),(709,1),(121,1),(1528,1),(1539,1),(1784,1),(1890,1),(217,1),(594,1),(1652,1),(2022,1),(404,1),(693,1),(125,1),(2451,1),(13,1),(1832,1),(2176,1),(628,1),(819,1),(136,1),(20,1),(976,1),(1050,1),(1979,1),(2114,1),(2455,1),(257,1),(495,1),(653,1),(1175,1),(1560,1),(1667,1),(1773,1),(2293,1),(345,1),(1128,1),(183,1),(2239,1),(2309,1),(2639,1),(572,1),(1700,1),(2103,1),(231,1),(28,1),(657,1),(804,1),(1791,1),(2341,1),(2356,1),(2529,1),(367,1),(169,1),(1795,1),(228,1),(796,1),(888,1),(1252,1),(2389,1),(242,1),(2682,1),(620,1),(671,1),(925,1),(1160,1),(1407,1),(521,1),(617,1),(697,1),(859,1),(349,1),(1179,1),(1854,1),(202,1),(2190,1),(2363,1),(2437,1),(705,1),(118,1),(1399,1),(1876,1),(2558,1),(2620,1),(459,1),(884,1),(914,1),(1380,1),(1656,1),(1678,1),(1935,1),(2037,1),(2231,1)	
Eat (1553,1),(1700,1),(1744,1)	
Eaten (1705,1)	
Edges (1489,1)	
Editor (2296,1)	
Edits (2452,1)	
Egg (1884,1),(887,1)	
Election (911,1)	
Element (1157,1),(169,1),(2202,1),(2404,1),(2635,1),(378,1),(503,1),(961,1)	
Elements (2261,1),(2654,1),(2672,1),(1305,1),(1785,1),(1969,1),(2016,1),(2148,2)	
Elimination (1293,1)	
Email (929,1)	
Emails (182,1)	
Employees (1965,1)	
Enclaves (1020,1)	
Encoded (1313,1),(2060,1)	
Energy (1665,1)	
English (2309,1)	
Equal (1292,1),(2352,1),(2602,1),(2491,1),(1072,1),(1887,1),(1968,1),(2448,1),(2176,1),(2628,1),(462,1),(1007,1),(2206,1),(972,1)	
Equality (990,1)	
Equals (560,1),(1880,1),(2236,1)	
Equation (640,1)	
Equivalent (1061,1),(1128,1)	
Even (1609,1),(2404,1),(2455,1)	
Events (2054,1)	
Exactly (2400,1)	
Exam (1349,1)	
Excellent (2354,1)	
Exists (2060,1)	
Expression (1896,1),(736,1)	
Factors (2507,1),(2521,1)	
Fair (2563,1)	
Fall (1503,1)	
Farmland (1992,1)	
Favorite (1452,1)	
Fee (714,1)	
Fibonacci (2648,1),(509,1),(842,1)	
Files (937,1)	
Fill (2335,1),(733,1)	
Filling (1105,1)	
Final (1896,1)	
Find (584,1),(658,1),(2395,1),(2670,1),(287,1),(515,1),(1002,1),(1295,1),(2609,1),(1237,1),(162,1),(2593,1),(1729,1),(1835,1),(1901,1),(1985,1),(2575,1),(724,1),(1545,1),(1673,1),(2058,1),(438,1),(1420,1),(1992,1),(34,1),(1732,1),(2007,1),(2359,1),(1394,1),(1439,1)	
Fingers (1320,1)	
Finish (1723,1),(2188,1)	
First (28,1),(1997,1)	
Fixed (2217,1),(2444,1)	
Flatten (114,1),(341,1)	
Fleet (853,1)	
Flip (951,1),(519,1),(926,1)	
Flipping (861,1),(832,1)	
Floors (1884,1)	
Food (1418,1)	
Force (1552,1)	
Form (1449,1),(1526,1),(1764,1)	
Frequencies (1647,1)	
Frequency (451,1),(895,1),(1348,1),(2080,1),(2671,1)	
Frequent (2190,1),(2404,1)	
Friend (602,1)	
Friends (1583,1),(825,1)	
From (2558,1),(1090,1),(1432,1),(1502,1),(2008,1),(2091,1),(2503,1),(2554,1)	
Fuel (2477,1)	
Full (894,1)	
Function (2666,1)	
Functions (636,1)	
Furthest (1642,1),(2078,1)	
GCDs (1819,1)	
Game (1025,1),(679,1),(822,1),(1872,1),(877,1),(488,1),(550,1),(682,1),(2293,1),(2660,1),(2682,1),(837,1),(1340,1),(1535,1),(1696,1)	
Gap (868,1)	
Generate (478,1)	
Generator (2649,1)	
Get (1537,1),(1878,1),(864,1),(1298,1)	
GetRandom (380,1)	
Given (1282,1),(1389,1),(1639,1),(1785,1),(2115,1),(2177,1),(902,1)	
Golf (675,1)	
Good (1512,1),(1530,1),(1534,1),(2179,1),(2421,1)	
Goods (2167,1)	
Grammar (779,1)	
Graph (2192,1),(2497,1),(2608,1),(882,1)	
Greater (1038,1),(538,1),(556,1)	
Greatest (1262,1),(1299,1),(1431,1),(1071,1)	
Grid (2132,1),(2257,1),(1391,1),(1931,1),(2033,1),(2503,1),(2617,1),(2639,1),(840,1)	
Group (49,1)	
Groups (2493,1),(839,1),(893,1),(1203,1),(1595,1),(2138,1),(2358,1),(2406,1)	
Grumpy (1052,1)	
Guess (375,1)	
H-Index (274,1)	
Half (1338,1)	
Halve (2208,1)	
Hamming (461,1)	
Hands (1344,1)	
Happiness (1659,1)	
Happy (202,1)	
Hard (1330,1),(1363,1),(502,1),(964,1),(458,1),(72,1),(810,1),(843,1),(1510,1),(1851,1),(2386,1),(432,1),(517,1),(829,1),(854,1),(1808,1),(818,1),(1147,1),(1770,1),(780,1),(975,1),(1671,1),(1866,1),(2092,1),(2650,1),(483,1),(1000,1),(1224,1),(2302,1),(2584,1),(887,1),(920,1),(391,1),(726,1),(924,1),(1411,1),(1499,1),(689,1),(1444,1),(1998,1),(2258,1),(2188,1),(630,1),(803,1),(902,1),(960,1),(2508,1),(407,1),(76,1),(928,1),(1473,1),(1675,1),(1723,1),(2416,1),(315,1),(2412,1),(472,1),(2573,1),(1095,1),(1606,1),(1639,1),(1745,1),(2111,1),(2122,1),(2463,1),(2577,1),(403,1),(410,1),(1862,1),(2030,1),(1220,1),(1293,1),(2009,1),(2056,1),(2603,1),(564,1),(164,1),(2081,1),(212,1),(546,1),(685,1),(1312,1),(1316,1),(32,1),(719,1),(773,1),(847,1),(1819,1),(2449,1),(1569,1),(1697,1),(2272,1),(2306,1),(906,1),(913,1),(1206,1),(1349,1),(1521,1),(1994,1),(2151,1),(2382,1),(2478,1),(2328,1),(10,1),(1172,1),(135,1),(1392,1),(1815,1),(1840,1),(2290,1),(850,1),(87,1),(968,1),(1235,1),(1345,1),(601,1),(65,1),(2276,1),(2360,1),(2430,1),(1547,1),(2203,1),(2551,1),(1044,1),(124,1),(1932,1),(1301,1),(1987,1),(25,1),(715,1),(982,1),(1125,1),(1187,1),(1617,1),(2045,1),(2218,1)	
Has (1779,1)	
HashSet (705,1)	
Hats (1434,1)	
Have (1904,1),(2446,1)	
Heaters (475,1)	
Height (1051,1),(1840,1)	
Hexadecimal (405,1)	
Highest (2374,1),(176,1)	
Hire (857,1)	
History (1472,1)	
Homogenous (1759,1)	
House (198,1),(213,1)	
Houses (2078,1),(2320,1)	
Human (601,1)	
I (1158,1)	
ID (1378,1)	
II (2299,1),(2541,1),(552,1),(80,1),(95,1),(1463,1),(1591,1),(1728,1),(963,1),(240,1),(680,1),(219,1),(40,1),(1049,1),(1140,1),(2134,1),(2365,1),(350,1),(446,1),(541,1),(59,1),(1096,1),(167,1),(2105,1)	
III (557,1),(630,1),(960,1),(1004,1),(1084,1),(1473,1),(216,1),(337,1)	
IV (188,1),(2326,1),(2454,1),(2560,1)	
Idle (2039,1)	
If (1497,1),(1585,1),(1662,1)	
Illegal (2167,1)	
Image (661,1)	
Immutable (303,1)	
Implement (225,1),(232,1),(470,1),(676,1)	
Impossible (2568,1)	
In (2018,1)	
Increasing (2016,1),(2328,1),(300,1),(674,1),(1187,1),(1370,1)	
Increments (1526,1),(2233,1)	
Independently (2164,1)	
Index (1991,1),(2057,1),(398,1)	
Indices (2164,1)	
Infinite (2336,1)	
Inform (1376,1)	
Ingredients (1276,1)	
Inorder (106,1),(94,1)	
Input (167,1)	
Instructions (2120,1)	
Insufficient (1080,1)	
Integer (1009,1),(1290,1),(1317,1),(1449,1),(2457,1),(273,1),(343,1),(989,1)	
Integers (1387,1),(1611,1),(1655,1),(1893,1),(371,1)	
Intersection (757,1)	
Interval (1523,1)	
Intervals (2406,1),(435,1)	
Into (2493,1),(1849,1),(2035,1),(2138,1),(2406,1)	
Is (1414,1),(1832,1),(2543,1),(392,1),(785,1),(1003,1)	
Island (463,1),(827,1)	
Islands (1254,1),(200,1)	
Item (2070,1)	
Items (1773,1),(2363,1)	
Iterator (341,1)	
JSON (2633,1)	
Job (1235,1)	
Jump (1340,1),(1696,1)	
K (2656,1),(629,1),(973,1),(995,1),(1420,1),(1505,1),(2461,1),(658,1),(698,1),(713,1),(863,1),(1343,1),(2090,1),(2447,1),(632,1),(1703,1),(2106,1),(2146,1),(2311,1)	
K-Concatenation (1191,1)	
K-Similar (854,1)	
K-Subarray (2607,1)	
K-Sum (2386,1),(1679,1)	
K-th (440,1)	
Keys (864,1)	
Kids (1431,1)	
Koko (875,1)	
Kth (1545,1),(1985,1),(1439,1)	
LCP (2573,1)	
Large (1093,1),(827,1),(830,1)	
Largest (1946,1),(2099,1),(2264,1),(976,1),(1139,1),(1399,1),(2231,1),(2275,1),(2583,1),(1090,1)	
Leaf (129,1)	
Least (1437,1),(395,1),(964,1)	
Leaves (1302,1)	
Left (513,1)	
Legal (1958,1)	
Length (2217,1),(646,1),(873,1),(1292,1),(1960,1),(2099,1)	
Less (2311,1),(713,1)	
Letter (17,1),(2309,1)	
Letters (917,1)	
Level (103,1),(107,1)	
Lexicographical (1415,1)	
Lexicographically (1625,1)	
Limit (2182,1)	
Line (1621,1),(2280,1),(1232,1),(149,1)	
Lines (1035,1)	
Linked (328,1),(382,1),(430,1),(92,1),(1721,1),(203,1),(2487,1)	
List (143,1),(147,1),(206,1),(341,1),(114,1),(1171,1),(2095,1),(82,1),(86,1)	
Lists (160,1),(21,1)	
Local (775,1),(2373,1)	
Longest (978,1),(2424,1),(516,1),(1371,1),(1405,1),(1438,1),(2501,1),(329,1),(424,1),(1027,1),(1218,1),(673,1)	
Loop (457,1)	
Losers (2682,1)	
Loud (851,1)	
Lowest (235,1)	
Lucky (1380,1)	
MK (1825,1)	
Machine (2241,1)	
Magic (1895,1)	
Mailboxes (1478,1)	
Majority (229,1)	
Make (921,1),(1319,1),(1502,1),(1887,1),(2448,1),(2499,1),(2602,1),(1249,1),(1616,1),(1674,1),(1957,1),(2033,1)	
Malware (928,1),(924,1)	
Masking (831,1)	
Match (942,1),(971,1)	
Matches (1688,1)	
Matching (2410,1)	
Matchsticks (473,1)	
Matrix (1439,1),(519,1),(867,1),(566,1),(1284,2),(1314,1),(1329,1),(1886,1),(2319,1),(2326,1),(2373,1),(74,1),(885,1)	
Max (1432,1),(1458,1),(1579,1),(1593,1),(2293,1),(363,1)	
Maximal (1615,1),(221,1),(85,1)	
Maximize (1005,1),(1771,1),(2024,1),(2259,1),(2592,1)	
Maximum (2242,1),(628,1),(1043,1),(1601,1),(1935,1),(1953,1),(2114,1),(1913,1),(2044,1),(2341,1),(895,1),(1292,1),(1373,1),(1960,1),(1975,1),(2503,1),(1131,1),(2271,1),(2529,1),(2554,1),(998,1),(2411,1),(2419,1),(2576,1),(646,1),(1186,1),(1465,1),(1520,1),(2008,1),(2279,1),(239,1),(918,1),(1546,1),(1829,1),(1854,1),(2091,1),(2172,1),(1072,1),(1751,1),(1898,1),(2606,1),(53,1)	
Meals (1711,1)	
Mean (1619,1)	
Median (480,1),(2488,1),(4,1)	
Medium (2285,1),(2623,1),(735,1),(1156,1),(1208,1),(1765,1),(1905,1),(2186,1),(1846,1),(229,1),(467,1),(38,1),(63,1),(889,1),(1901,1),(1927,1),(2326,1),(2564,1),(2641,1),(89,1),(988,1),(1093,1),(2348,1),(2384,1),(2627,1),(669,1),(1424,1),(2513,1),(74,1),(779,1),(739,1),(1020,1),(1222,1),(1673,1),(2146,1),(2182,1),(2597,1),(540,1),(1053,1),(1615,1),(1871,1),(2201,1),(2542,1),(1695,1),(797,1),(1509,1),(951,1),(690,1),(838,1),(841,1),(973,1),(1347,1),(1996,1),(2487,1),(478,1),(522,1),(2546,1),(331,1),(1039,1),(1310,1),(199,1),(2425,1),(2531,1),(1604,1),(221,1),(2304,1),(2483,1),(481,1),(1314,1),(1530,1),(731,1),(1824,1),(1882,1),(2410,1),(1321,1),(1372,1),(151,1),(1589,1),(166,1),(34,1),(5,1),(1174,1),(148,1),(1497,1),(210,1),(537,1),(306,1),(386,1),(393,1),(1130,1),(1219,1),(1482,1),(1813,1),(2461,1),(665,1),(966,1),(2131,1),(2171,1),(287,1),(371,1),(430,1),(236,1),(2579,1),(81,1),(1006,1),(1123,1),(1248,1),(2241,1),(1471,1),(207,1),(2090,1),(2414,1),(904,1),(1116,1),(1648,1),(2311,1),(2685,1),(852,1),(1105,1),(1930,1),(809,1),(1277,1),(1291,1),(1457,1),(919,1),(1145,1),(1170,1),(1567,1),(2571,1),(313,1),(470,1),(452,1),(1343,1),(1545,1),(1600,1),(2087,1),(397,1),(2256,1),(328,1),(416,1),(445,1),(1035,1),(2333,1),(1325,1),(2249,1),(654,1),(1718,1),(2300,1),(474,1),(991,1),(1963,1),(2120,1),(449,1),(713,1),(515,1),(1358,1),(173,1),(2018,1),(2043,1),(2069,1),(1318,1),(16,1),(2029,1),(427,1),(764,1),(456,1),(508,1),(720,1),(1138,1),(1237,1),(1864,1),(2575,1),(438,1),(786,1),(12,1),(1262,1),(911,1),(2337,1),(324,1),(1361,1),(1552,1),(1680,1),(1754,1),(1934,1),(2054,1),(78,1),(96,1),(1981,1),(2380,1),(881,1),(948,1),(984,1),(1574,1),(1798,1),(2058,1),(870,1),(874,1),(1541,1),(1860,1),(2139,1),(2274,1),(155,1),(1817,1),(1493,1),(2502,1),(423,1),(687,1),(1387,1),(1750,1),(1802,1),(1743,1),(2476,1),(2601,1),(1578,1),(1839,1),(2212,1),(672,1),(863,1),(1985,1),(2245,1),(621,1),(885,1),(915,1),(92,1),(1017,1),(137,1),(180,1),(2216,1),(816,1),(162,1),(1806,1),(775,1),(845,1),(2429,1),(375,1),(1042,1),(2359,1),(382,1),(658,1),(926,1),(1024,1),(1637,1),(2289,1),(357,1),(368,1),(2007,1),(2270,1),(519,1),(647,1),(849,1),(1376,1),(1626,1),(526,1),(2447,1),(2560,1),(959,1),(177,1),(2135,1),(636,1),(856,1),(1079,1),(1109,1),(122,1),(45,1),(955,1),(133,1),(1992,1),(2517,1),(2645,1),(962,1),(1031,1),(1204,1),(1390,1),(56,1),(900,1),(1233,1),(1288,1),(2391,1),(2616,1),(698,1),(650,1),(676,1),(1329,1),(1442,1),(1721,1),(184,1),(2568,1),(1226,1),(1828,1),(2443,1),(2649,1),(937,1),(1769,1),(2498,1),(2593,1),(49,1),(823,1)	
Memory (1860,1),(2502,1)	
Merge (2363,1),(617,1)	
Min (1584,1)	
Minimal (2195,1)	
Minimize (1722,1),(2646,1)	
Minimized (2064,1)	
Minimum (2167,1),(2170,1),(2406,1),(2538,1),(963,1),(1551,1),(1775,1),(2134,1),(2578,1),(1247,1),(1984,1),(1827,1),(2208,1),(2457,1),(1595,1),(1658,1),(857,1),(945,1),(2567,1),(530,1),(1889,1),(1896,1),(1959,1),(2086,1),(2471,1),(2541,1),(1335,1),(1665,1),(2589,1),(783,1),(1489,1),(1654,1),(1713,1),(1870,1),(2163,1),(2244,1),(2662,1),(310,1),(1526,1),(1647,1),(1368,1),(1760,1),(1830,1),(2280,1),(2383,1),(453,1),(1210,1),(1320,1),(871,1)	
Minutes (1817,1)	
Mirror (858,1)	
Missing (2028,1)	
Monkeys (2550,1)	
Monotone (926,1)	
More (1604,1)	
Most (1606,1),(2070,1),(2456,1),(2467,1),(2522,1),(902,1)	
Mountain (845,1),(852,1)	
Mouse (913,1)	
Move (1769,1),(2337,1),(283,1)	
Moves (1210,1),(1540,1),(2684,1),(453,1)	
Multiple (2248,1),(2413,1)	
Multiples (2652,1)	
Multiplication (668,1)	
Multithreaded (1195,1)	
Music (920,1)	
Mutable (307,1)	
My (729,1),(732,1)	
N (1016,1),(1346,1),(2141,1)	
N-Queens (51,1)	
N-ary (429,1)	
Names (1487,1),(1667,1)	
Nearest (1779,1),(1926,1)	
Needed (1376,1),(2380,1)	
Negations (1005,1)	
Neighbors (1334,1),(2038,1)	
Nested (2625,1)	
Nesting (1111,1),(1614,1)	
Network (2039,1),(743,1)	
Never (183,1)	
New (837,1)	
Next (117,1),(1019,1)	
Nice (1248,1)	
No (1042,1),(1626,1),(1637,1)	
Node (2374,1),(671,1),(1483,1),(2095,1),(2242,1)	
Nodes (2508,1),(847,1),(865,1),(1448,1),(2074,1),(2265,1),(2368,1),(25,1),(1080,1),(1110,1),(2049,1)	
Non (1594,1)	
Non-Coprime (2197,1)	
Non-Overlapping (689,1)	
Non-overlapping (1477,1)	
Not (1581,1)	
Notation (150,1)	
Nth (19,1)	
Number (1963,1),(2465,1),(452,1),(1358,1),(1725,1),(2186,1),(537,1),(995,1),(1806,1),(2058,1),(1864,1),(2579,1),(2586,1),(1248,1),(1284,1),(2421,1),(375,1),(1769,1),(1967,1),(1482,1),(2443,1),(1828,1),(2193,1),(191,1),(2047,1),(2171,1),(306,1),(1189,1),(1453,1),(2447,1),(933,1),(1295,1),(1684,1),(137,1),(2531,1),(1343,1),(1347,1),(2025,1),(2160,1),(2384,1),(2597,1),(9,1),(1530,1),(1941,1),(2270,1),(1178,1),(1431,1),(2348,1),(878,1),(1798,1),(1996,1),(405,1),(2472,1),(2605,1),(2685,1),(287,1),(1020,1),(1365,1),(313,1),(1512,1),(2520,1),(2678,1),(434,1)	
Numbers (2,1),(2042,1),(2310,1),(2549,1),(1012,1),(1977,1),(2523,1),(633,1),(967,1),(985,1),(1577,1),(1922,1)	
O`one (432,1)	
Object (2618,1)	
Objects (2675,1)	
Obstacle (2290,1)	
Obtain (2337,1)	
Occurrences (1078,1),(1207,1)	
Occurs (1455,1)	
Odd (1523,1),(2164,1),(328,1),(1116,1)	
Of (825,1)	
Offers (638,1)	
On (2056,1)	
One (66,1),(1368,1),(233,1),(2556,1),(2666,1)	
Ones (485,1),(1277,1),(1703,1),(474,1)	
Open (1326,1),(752,1)	
Operation (1486,1),(2601,1)	
Operations (1830,1),(2170,1),(2460,1),(1625,1),(1959,1),(2208,1),(2442,1),(2541,1),(1658,1),(1775,1),(2471,1),(1441,1),(1713,1),(1827,1),(2530,1),(1551,1)	
Order (1030,1),(897,1)	
Ordered (1327,1)	
Origin (657,1)	
Original (423,1),(2007,1)	
Overlapping (2580,1)	
Paid (2303,1)	
Painted (2661,1)	
Pair (1014,1),(646,1)	
Pairs (1679,1),(1862,1),(2001,1),(2023,1),(2364,1),(373,1)	
Palindrome (214,1),(2193,1),(2472,1),(409,1),(9,1),(2131,1)	
Palindromic (2002,1),(516,1)	
Pangram (1832,1)	
